Same community as previous or not (first number is number of trees)
100	0	0	1	2	3	3	3	3	4	
Value of lambda: 
0	-1	0	0.125	0.25	0.375	0.5	0.75	0.875	1	
Number of communities: 
0	1	1	2	3	6	6	6	6	100	
Value of modularity: 
0	3.98057	1	0.756593	0.592151	0.467576	0.374061	0.187031	0.0935153	0	
Community index (first column is tree index): 
0	0	0	1	2	0	0	0	0	0	
1	0	0	0	0	1	1	1	1	1	
2	0	0	1	1	2	2	2	2	2	
3	0	0	1	2	0	0	0	0	3	
4	0	0	0	0	1	1	1	1	4	
5	0	0	1	2	0	0	0	0	5	
6	0	0	1	2	0	0	0	0	6	
7	0	0	0	0	1	1	1	1	7	
8	0	0	1	1	2	2	2	2	8	
9	0	0	1	1	3	3	3	3	9	
10	0	0	1	1	2	2	2	2	10	
11	0	0	1	2	0	0	0	0	11	
12	0	0	1	1	3	3	3	3	12	
13	0	0	0	0	1	1	1	1	13	
14	0	0	1	1	2	2	2	2	14	
15	0	0	1	1	2	2	2	2	15	
16	0	0	0	0	1	1	1	1	16	
17	0	0	1	1	3	3	3	3	17	
18	0	0	1	1	2	2	2	2	18	
19	0	0	0	0	5	5	5	5	19	
20	0	0	0	0	1	1	1	1	20	
21	0	0	1	2	4	4	4	4	21	
22	0	0	1	1	2	2	2	2	22	
23	0	0	1	2	0	0	0	0	23	
24	0	0	1	2	0	0	0	0	24	
25	0	0	0	0	1	1	1	1	25	
26	0	0	0	0	1	1	1	1	26	
27	0	0	1	2	0	0	0	0	27	
28	0	0	0	0	1	1	1	1	28	
29	0	0	1	1	2	2	2	2	29	
30	0	0	1	1	2	2	2	2	30	
31	0	0	1	1	2	2	2	2	31	
32	0	0	1	2	4	4	4	4	32	
33	0	0	1	2	0	0	0	0	33	
34	0	0	1	2	0	0	0	0	34	
35	0	0	1	2	0	0	0	0	35	
36	0	0	1	2	0	0	0	0	36	
37	0	0	0	0	1	1	1	1	37	
38	0	0	1	1	2	2	2	2	38	
39	0	0	1	2	0	0	0	0	39	
40	0	0	1	2	0	0	0	0	40	
41	0	0	1	1	2	2	2	2	41	
42	0	0	0	0	1	1	1	1	42	
43	0	0	0	0	1	1	1	1	43	
44	0	0	0	0	1	1	1	1	44	
45	0	0	0	0	1	1	1	1	45	
46	0	0	0	0	1	1	1	1	46	
47	0	0	0	0	1	1	1	1	47	
48	0	0	1	1	2	2	2	2	48	
49	0	0	0	0	1	1	1	1	49	
50	0	0	1	1	2	2	2	2	50	
51	0	0	0	0	1	1	1	1	51	
52	0	0	1	1	2	2	2	2	52	
53	0	0	0	0	1	1	1	1	53	
54	0	0	0	0	5	5	5	5	54	
55	0	0	1	1	2	2	2	2	55	
56	0	0	1	1	2	2	2	2	56	
57	0	0	1	1	2	2	2	2	57	
58	0	0	0	0	1	1	1	1	58	
59	0	0	1	1	3	3	3	3	59	
60	0	0	0	0	1	1	1	1	60	
61	0	0	1	1	2	2	2	2	61	
62	0	0	1	2	0	0	0	0	62	
63	0	0	0	0	1	1	1	1	63	
64	0	0	1	2	0	0	0	0	64	
65	0	0	1	2	0	0	0	0	65	
66	0	0	0	0	5	5	5	5	66	
67	0	0	1	2	0	0	0	0	67	
68	0	0	1	1	2	2	2	2	68	
69	0	0	1	2	0	0	0	0	69	
70	0	0	1	1	2	2	2	2	70	
71	0	0	0	0	1	1	1	1	71	
72	0	0	0	0	1	1	1	1	72	
73	0	0	0	0	1	1	1	1	73	
74	0	0	1	1	2	2	2	2	74	
75	0	0	0	0	5	5	5	5	75	
76	0	0	1	1	2	2	2	2	76	
77	0	0	0	0	1	1	1	1	77	
78	0	0	0	0	1	1	1	1	78	
79	0	0	1	2	0	0	0	0	79	
80	0	0	1	2	0	0	0	0	80	
81	0	0	1	1	3	3	3	3	81	
82	0	0	0	0	1	1	1	1	82	
83	0	0	0	0	1	1	1	1	83	
84	0	0	1	1	3	3	3	3	84	
85	0	0	1	2	0	0	0	0	85	
86	0	0	1	1	2	2	2	2	86	
87	0	0	1	2	0	0	0	0	87	
88	0	0	1	1	3	3	3	3	88	
89	0	0	0	0	1	1	1	1	89	
90	0	0	0	0	1	1	1	1	90	
91	0	0	1	1	2	2	2	2	91	
92	0	0	1	1	3	3	3	3	92	
93	0	0	0	0	1	1	1	1	93	
94	0	0	1	1	3	3	3	3	94	
95	0	0	1	1	2	2	2	2	95	
96	0	0	1	2	0	0	0	0	96	
97	0	0	0	0	1	1	1	1	97	
98	0	0	1	2	0	0	0	0	98	
99	0	0	1	1	3	3	3	3	99	
